Project Name,Package Name,Architecture Smell,Cause of the Smell
.,org.axonframework.extensions.kafka.eventhandling.producer,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [DefaultProducerFactoryClusteringIntegrationTest; ProducerFactory; ConfirmationMode; DefaultProducerFactory; DefaultProducerFactory.Builder; KafkaPublisher; KafkaPublisher.Builder; TopicResolver; KafkaEventPublisher; KafkaEventPublisher.Builder; DefaultProducerFactoryIntegrationTest; KafkaPublisherIntegrationTest; KafkaPublisherBuilderTest]; [KafkaPublisherIntegrationTest.MessageCollector]; [DefaultProducerFactory.ProducerDecorator]; [DefaultProducerFactory.PoolableProducer]; [DefaultProducerFactory.ShareableProducer]. LCC (Lack of Component Cohesion) = 0.29
.,org.axonframework.extensions.kafka.eventhandling.util,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): org.axonframework.extensions.kafka.eventhandling.producer; org.axonframework.extensions.kafka.eventhandling
.,org.axonframework.extensions.kafka.eventhandling.util,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [ConsumerConfigUtil]; [KafkaContainerTest]; [KafkaTestUtils]; [KafkaAdminUtils]; [KafkaAdminUtils.KafkaTopicConfiguration]; [AssertUtils]; [KafkaContainerCluster; KafkaContainerClusterTest]; [ProducerConfigUtil]; [HeaderAssertUtil]. LCC (Lack of Component Cohesion) = 0.9
.,org.axonframework.extensions.kafka.eventhandling.tokenstore,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [KafkaTokenStoreConcurrentIntegrationTest; KafkaTokenStore; TokenUpdate; TokenUpdateDeserializerTest; TokenUpdateDeserializer; TokenUpdateSerializerTest; TokenUpdateSerializer; KafkaTokenStoreIntegrationTest; KafkaTokenStoreBuilderTest; TokenStoreState]; [TokenStoreState.TokenStoreUpdateException]; [KafkaTokenStore.FutureWithContext]; [KafkaTokenStore.Builder]; [TokenStoreInitializationException]. LCC (Lack of Component Cohesion) = 0.36
.,org.axonframework.extensions.kafka.eventhandling.cloudevent,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [CloudEventKafkaMessageConverterTest; InvalidMetaDataException; CloudEventKafkaMessageConverter; MetadataUtils; ExtensionUtils]; [CloudEventKafkaMessageConverter.Builder]. LCC (Lack of Component Cohesion) = 0.33
.,org.axonframework.extensions.kafka.eventhandling,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): org.axonframework.extensions.kafka.eventhandling.producer; org.axonframework.extensions.kafka.eventhandling.consumer.streamable
.,org.axonframework.extensions.kafka.eventhandling,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [KafkaIntegrationTest]; [DefaultKafkaMessageConverterTest; DefaultKafkaMessageConverter; HeaderUtils; KafkaMessageConverter; HeaderUtilsTest]; [HeaderUtilsTest.Foo]; [HeaderUtilsTest.Bar]; [DefaultKafkaMessageConverter.Builder]. LCC (Lack of Component Cohesion) = 0.56
.,org.axonframework.extensions.kafka.eventhandling,Scattered Functionality,The tool detected the smell in this component because a set of two or more components realizes the same high-level architectural concern. Following components realize the same concern: org.axonframework.extensions.kafka.eventhandling.producer; org.axonframework.extensions.kafka.eventhandling.consumer.
.,org.axonframework.extensions.kafka.eventhandling,Scattered Functionality,The tool detected the smell in this component because a set of two or more components realizes the same high-level architectural concern. Following components realize the same concern: org.axonframework.extensions.kafka.eventhandling.consumer; org.axonframework.extensions.kafka.eventhandling.consumer.streamable.
.,org.axonframework.extensions.kafka.eventhandling,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.axonframework.extensions.kafka.eventhandling; org.axonframework.extensions.kafka.eventhandling.producer; org.axonframework.extensions.kafka.eventhandling
.,org.axonframework.extensions.kafka.eventhandling,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.axonframework.extensions.kafka.eventhandling; org.axonframework.extensions.kafka.eventhandling.consumer.streamable; org.axonframework.extensions.kafka.eventhandling
.,org.axonframework.extensions.kafka.eventhandling,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.axonframework.extensions.kafka.eventhandling; org.axonframework.extensions.kafka.eventhandling.util; org.axonframework.extensions.kafka.eventhandling
.,org.axonframework.extensions.kafka.eventhandling.consumer,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): org.axonframework.extensions.kafka.eventhandling.consumer.streamable; org.axonframework.extensions.kafka.eventhandling.producer; org.axonframework.extensions.kafka.eventhandling.util
.,org.axonframework.extensions.kafka.eventhandling.consumer,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [ConsumerRecordConverter]; [AsyncFetcherIntegrationTest; AsyncFetcher; FetchEventsTask; Fetcher; EventConsumer; RuntimeErrorHandler; RecordConverter; FetchEventsTaskTest]; [AsyncFetcherIntegrationTest.LatchedSortedKafkaMessageBuffer]; [ConsumerSeekUtilTest; TopicSubscriber; TopicListSubscriber; ConsumerSeekUtil; TopicSubscriberBuilder; TopicPatternSubscriber]; [DefaultConsumerFactoryIntegrationTest; ConsumerFactory; DefaultConsumerFactory; ConsumerSeekUtilIntegrationTest]; [FetchEventException]; [AsyncFetcher.Builder]. LCC (Lack of Component Cohesion) = 0.32
.,org.axonframework.extensions.kafka.eventhandling.consumer,Scattered Functionality,The tool detected the smell in this component because a set of two or more components realizes the same high-level architectural concern. Following components realize the same concern: org.axonframework.extensions.kafka.eventhandling.consumer.streamable; org.axonframework.extensions.kafka.eventhandling.producer.
.,org.axonframework.extensions.kafka.eventhandling.consumer,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.axonframework.extensions.kafka.eventhandling.consumer; org.axonframework.extensions.kafka.eventhandling.consumer.streamable; org.axonframework.extensions.kafka.eventhandling.consumer
.,org.axonframework.extensions.kafka.eventhandling.consumer.streamable,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [TopicPartitionDeserializerTest; TopicPartitionDeserializer]; [StreamableKafkaMessageSourceTest; KafkaTrackingToken; TrackingRecordConverter; TrackingTokenConsumerRebalanceListener; KafkaEventMessage; KafkaMessageStream; StreamableKafkaMessageSource; Buffer; FailingConsumerErrorThroughBufferTest; KafkaTrackingTokenTest; JSR166TestCase; SortedKafkaMessageBufferTest; SortedKafkaMessageBuffer; TrackingRecordConverterTest; ConsumerPositionsUtilIntegrationTest; ConsumerPositionsUtil; KafkaMessageStreamTest; KafkaTrackingTokenSerializationTest; KafkaRecordMetaData]; [FailingConsumerErrorThroughBufferTest.MockFactory]; [JSR166TestCase.CheckedRunnable]; [ConsumerPositionsUtil.OffsetSupplier]; [StreamableKafkaMessageSource.Builder]. LCC (Lack of Component Cohesion) = 0.24
